0,0,0,0
1,1.01594,0.0232013,0.00450442
2,2.01564,-0.0190188,-0.0024962
3,3.02881,-0.0171884,-0.00347314
4,3.03787,0.97959,1.56516
5,3.03563,1.98233,1.54984
6,3.03605,3.00627,1.54221
7,3.0669,3.99488,1.54515
8,3.04178,2.98739,-1.58096
9,3.02865,1.98779,-1.58526
10,3.04443,0.978977,-1.57398
11,3.03655,0.00428318,-1.59859
12,3.03718,0.99782,1.55369
13,3.03816,2.01211,1.54087
14,3.06,2.98129,1.5438
15,3.08996,3.9862,1.54565
16,4.12124,3.97892,-0.0203632
17,5.10979,3.95943,-0.00795658
18,6.07109,3.97298,-0.0108636
19,7.06728,3.97297,-0.00117224
20,7.02715,2.96958,-1.53544
21,7.06419,1.98444,-1.57204
22,7.06344,0.977617,-1.57234
23,7.05168,-0.0335619,-1.5743
24,7.03925,0.957037,1.56892
25,7.03199,1.95353,1.56148
26,7.03907,2.96759,1.57224
27,7.0575,3.96884,1.5603
28,6.09445,3.9439,3.1391
29,5.06701,3.9682,3.11736
30,4.08282,3.97919,3.10731
31,3.09823,4.00449,3.12819
32,3.1091,4.97768,1.55512
33,3.1212,6.01941,1.58039
34,3.10143,7.00916,1.5472
35,3.09518,8.00258,1.54427
36,2.09031,8.00692,3.12002
37,1.10445,8.02633,3.12831
38,0.100207,8.03155,3.12893
39,-0.893619,8.03562,3.1173
40,-0.961266,7.05035,-1.58241
41,-0.986184,6.05694,-1.56493
42,-0.955088,5.03544,-1.55186
43,-0.954929,4.02992,-1.58751
44,-0.953902,3.0448,-1.57159
45,-0.990113,2.04237,-1.5647
46,-0.970696,1.03455,-1.56626
47,-0.984344,0.0294926,-1.55412
48,-0.979461,0.998347,1.57485
49,-0.99171,2.01601,1.55652
50,-1.00036,3.0321,1.53227
51,-0.96922,4.08001,1.53572
52,0.0314366,4.03012,-0.00341457
53,1.06247,4.02745,-0.0093943
54,2.04623,4.0199,-0.0296834
55,3.07015,3.96997,-0.0213482
56,3.05556,2.98948,-1.58397
57,3.03825,1.94982,-1.60028
58,3.0066,0.973895,-1.61001
59,2.98725,-0.0293137,-1.60914
60,1.98731,-0.00403365,3.13109
61,0.993518,0.000589326,3.1392
62,0.00353434,0.0119369,-3.12479
63,-1.0137,0.0284242,3.14148
